City_ID,City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
264,Jueterbog,DE,1579318102,51.98,13.08,98,100,45.0,10.29
265,Zermatt,CH,1579317996,46.02,7.75,40,100,39.99,1.12
266,Zahesi,GE,1579318102,41.82,44.75,0,74,30.2,8.05
267,Barcelona,ES,1579317922,41.39,2.16,20,65,52.0,8.05
268,Mana,GF,1579318103,5.66,-53.78,47,98,72.68,2.3
269,Baft,IR,1579317874,29.23,56.61,99,58,35.92,0.49
270,Fallon,US,1579318085,39.47,-118.78,75,55,35.6,5.82
271,Pouebo,NC,1579318105,-20.4,164.57,90,62,80.6,1.83
272,Pochutla,MX,1579318105,15.74,-96.47,5,78,80.6,12.12
273,Porto Nacional,BR,1579318105,-10.71,-48.42,0,94,78.8,4.7
274,Zhuhai,CN,1579318106,22.28,113.57,20,63,66.99,14.99
275,Camacha,PT,1579318106,33.08,-16.33,0,87,60.8,3.36
276,Mogadishu,SO,1579317828,2.04,45.34,100,78,77.56,23.89
277,Quryq,KZ,1579318106,43.2,51.65,100,90,41.16,17.92
278,San Felipe,VE,1579318106,10.34,-68.74,82,93,73.6,3.44
279,Flinders,AU,1579317924,-34.58,150.86,100,77,72.0,14.99
280,Kavaratti,IN,1579318026,10.57,72.64,40,69,80.6,9.17
281,Shaowu,CN,1579318106,27.34,117.48,25,64,50.05,1.34
282,Itoman,JP,1579318106,26.12,127.67,75,55,62.6,19.46
283,Jaguarao,BR,1579318107,-32.57,-53.38,0,74,58.26,6.46
284,Grindavik,IS,1579318107,63.84,-22.43,40,58,32.0,11.41
285,Dogondoutchi,NE,1579318107,13.64,4.03,0,28,63.97,12.12
286,Eldorado,BR,1579318051,-23.79,-54.28,19,96,73.74,3.29
287,Goderich,CA,1579318031,43.75,-81.72,100,82,18.0,5.99
288,Talnakh,RU,1579318107,69.49,88.4,20,75,-20.2,13.42
289,La Constancia,MX,1579318107,24.22,-107.19,5,64,71.6,5.82
290,Hamilton,US,1579317858,39.18,-84.53,90,55,34.0,6.93
291,La Ronge,CA,1579317829,55.1,-105.28,90,76,-4.0,4.7
292,San Pedro de Macoris,DO,1579318108,18.46,-69.3,40,88,73.99,4.7
293,Saquarema,BR,1579318108,-22.92,-42.51,90,88,71.6,6.93
294,Bambous Virieux,MU,1579318055,-20.34,57.76,75,88,82.0,4.7
295,Vardo,NO,1579318041,70.37,31.11,0,59,20.5,9.17
296,Rio Claro,BR,1579318108,-22.41,-47.56,96,82,73.99,12.75
297,Ilulissat,GL,1579318109,69.22,-51.1,95,49,1.4,11.41
298,Nome,US,1579317855,64.5,-165.41,1,65,6.8,6.93
